VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,SOL_DATE,ARRIVAL_DATE,END_OF_LOCKAGE,TIMEZONE,MMSI,Unnamed: 0,DELAY_MINS,SEQ_NO
RICHARD B(TOW) 55X22,0568300,U,0,10/26/23 19:55,10/26/23 19:27,10/26/23 20:05,CST,367690950,,,
RICHARD B(TOW) 55X22,0568300,U,0,,10/26/23 19:27,,CST,367690950,,,
THERESA B (TOW),0561744,U,0,10/26/23 18:40,10/26/23 18:37,10/26/23 18:45,CST,367056060,,,
BOO SONIER (TOW 2012),1238039,D,2,,10/26/23 16:03,,CST,367524420,,,
AMAZING GRACE (TOW 1958),0277588,D,6,,10/26/23 16:01,,CST,367731330,,,
MAC ANDREW MCKINNEY (TOW),1234978,D,6,,10/26/23 16:00,,CST,367500460,,,
MISS PEYTON,0633411,U,6,,10/26/23 15:26,,CST,368028990,,,
REPOSE,1041355,D,6,,10/26/23 12:13,,CST,368286780,,,
PHILIP (TOW 1995),1033117,U,2,,10/26/23 11:28,,CST,367003780,,,
RICHARD  (TOW 2008),1212306,U,2,,10/26/23 11:20,,CST,367361740,,,
RICHARD B(55X22),5681300,U,0,10/26/23 11:00,10/26/23 10:52,10/26/23 11:10,CST,,,,
ADDISON FAITH,1308502,D,1,,10/26/23 09:44,,CST,368177590,,,
ST. MATTHIAS,1273328,U,6,,10/26/23 06:25,,CST,367757270,,,
CROSBY EXPRESS,0521797,U,0,10/26/23 05:55,10/26/23 05:22,10/26/23 06:10,CST,368115150,,,
REBOUND,0286204,U,6,,10/26/23 04:43,,CST,367306520,,,
ASPEN (TOW 2016) 75X34,1270614,U,2,,10/26/23 04:35,,CST,367762880,,,
RICHARD B(55X22),5681300,D,0,10/26/23 00:10,10/26/23 00:07,10/26/23 00:15,CST,,,,
RICHARD B(55X22),5681300,D,0,10/25/23 23:40,10/25/23 23:35,10/25/23 23:45,CST,,,,
THERESA B (TOW),0561744,D,0,10/25/23 23:10,10/25/23 23:08,10/25/23 23:15,CST,367056060,,,
THERESA B (TOW),0561744,D,0,10/25/23 22:50,10/25/23 22:36,10/25/23 22:55,CST,367056060,,,
 TOM CORNWELL  ,1307050,D,6,,10/25/23 22:12,,CST,368208250,,,
JOHN BOOZMAN (TOW 2011)81X30,1233875,D,2,,10/25/23 22:09,,CST,367493370,,,
ALLIE BROOKE DEVALL,1214852,D,3,10/26/23 18:45,10/25/23 22:05,10/26/23 19:25,CST,368259470,,,
INTRA RECOIL(TOW),0533346,D,2,,10/25/23 22:00,,CST,368193180,,,
RICHARD B(55X22),5681300,D,0,10/25/23 21:30,10/25/23 21:13,10/25/23 21:50,CST,,,,
HUD JOSEPH (TOW 60X24 ),0642513,U,1,10/26/23 00:30,10/25/23 21:00,10/26/23 00:40,CST,367378170,,,
TRUMP IT,0675384,D,6,,10/25/23 20:21,,CST,367710770,,,
LADY OF PROMPT SUCCOR (TOW),1155422,D,3,10/26/23 19:30,10/25/23 19:59,10/26/23 19:40,CST,367311490,,,
LADY OF PROMPT SUCCOR (TOW),1155422,D,3,10/26/23 19:45,10/25/23 19:59,10/26/23 19:55,CST,367311490,,,
LADY OF PROMPT SUCCOR (TOW),1155422,D,6,,10/25/23 19:59,,CST,367311490,,,
RESOLUTION (TOW),0629784,D,3,10/26/23 17:30,10/25/23 16:40,10/26/23 18:15,CST,367531790,,,
RESOLUTION (TOW),0629784,D,3,10/26/23 18:30,10/25/23 16:40,10/26/23 18:40,CST,367531790,,,
MIKE MITCHELL,0624349,U,5,,10/25/23 14:50,,CST,368144320,,,
AVENGER,1244673,D,2,10/26/23 10:30,10/25/23 13:27,10/26/23 11:00,CST,367561870,,,
GREGORY P FRAZIER (TOW),0552463,D,3,10/26/23 09:31,10/25/23 12:17,10/26/23 10:10,CST,367019930,,,
GREGORY P FRAZIER (TOW),0552463,D,3,10/26/23 10:15,10/25/23 12:17,10/26/23 10:25,CST,367019930,,,
LESLIE (TOW 73X31),1218576,D,3,10/26/23 16:26,10/25/23 12:09,10/26/23 17:05,CST,367402820,,,
LESLIE (TOW 73X31),1218576,D,3,10/26/23 17:10,10/25/23 12:09,10/26/23 17:25,CST,367402820,,,
CJ STUDDERT,1273720,D,2,10/26/23 08:30,10/25/23 12:07,10/26/23 08:55,CST,367763490,,,
EVERETT C (TOW 2018) 72X30,1281643,D,2,10/26/23 06:35,10/25/23 11:30,10/26/23 07:00,CST,368033820,,,
SEA HOG (TOW),0621554,U,0,10/25/23 15:45,10/25/23 11:28,10/25/23 16:00,CST,367080090,,,
JEFF KINDL (TOW 2016) 86X35,1266571,U,4,10/26/23 00:45,10/25/23 11:17,10/26/23 00:55,CST,367711840,,,
JEFF KINDL (TOW 2016) 86X35,1266571,U,4,10/26/23 01:00,10/25/23 11:17,10/26/23 01:10,CST,367711840,,,
SANDRA LEE,1259133,U,3,10/25/23 23:15,10/25/23 11:14,10/25/23 23:40,CST,367663440,,,
SPINDLETOP (TOW 2011),1233372,U,2,10/26/23 00:15,10/25/23 11:00,10/26/23 00:25,CST,367496980,,,
BOLD VENTURE,1301090,D,1,10/26/23 06:10,10/25/23 09:32,10/26/23 06:30,CST,368132340,,,
ALYS,1233341,U,2,10/25/23 23:45,10/25/23 09:24,10/26/23 00:10,CST,368272520,,,
CAPT PIC NAQUIN (TOW 2011),1230958,U,2,10/25/23 22:55,10/25/23 06:20,10/25/23 23:10,CST,367477560,,,
RESPONDER,0543900,U,3,10/25/23 22:25,10/25/23 05:26,10/25/23 22:35,CST,368286840,,,
RESPONDER,0543900,U,3,10/25/23 22:40,10/25/23 05:26,10/25/23 22:50,CST,368286840,,,
SAINT CHARLES (TOW 2009),1223316,U,2,10/25/23 21:50,10/25/23 04:49,10/25/23 22:20,CST,367430030,,,
MARTIN CHALLENGER (TOW),1051672,U,2,10/25/23 20:50,10/25/23 04:46,10/25/23 21:30,CST,366874920,,,
