VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,Unnamed: 0,DELAY_MINS,SEQ_NO
TERRY H,1252433,D,2,10/26/23 19:34,CST,367614880,,,,,
ST CHARLES (TOW)76X35,1230767,D,3,10/26/23 17:14,CST,367473550,,,,,
COCODRIE,1259043,U,2,10/26/23 17:00,CST,367695890,,,,,
ELLY LANE (TOW),0560594,U,2,10/26/23 16:37,CST,367456810,,,,,
T H KELLY (TOW),0693109,D,5,10/26/23 16:23,CST,367004910,,,,,
BOBBY JONES (TOW),0502672,D,3,10/26/23 15:12,CST,366919160,,,,,
KEVIN ALLEN ,1273624,U,2,10/26/23 14:38,CST,368151890,10/26/23 18:58,10/26/23 19:29,,,
KIMBERLY HIDALGO,1253551,D,1,10/26/23 14:29,CST,367627770,10/26/23 15:56,10/26/23 16:50,,,
KATHRYN T DEVALL (TOW 2013),1243632,U,1,10/26/23 13:52,CST,367597350,10/26/23 17:20,10/26/23 18:00,,,
KAYLIN NICOLE (TOW 2016) 81X32,1271719,U,2,10/26/23 13:30,CST,367755650,10/26/23 18:13,10/26/23 18:52,,,
MISS GENEVIEVE,1276019,U,2,10/26/23 12:25,CST,368201030,10/26/23 17:36,10/26/23 18:07,,,
RED BIRD (TOW 1982 47X20,0650649,D,2,10/26/23 05:44,CST,368070080,10/26/23 07:56,10/26/23 08:30,,,
ANITA EVE SHARP  (TOW 1985),0680357,D,6,10/26/23 05:32,CST,367057930,10/26/23 16:11,10/26/23 16:55,,,
LUBBOCK,1260379,D,2,10/26/23 04:23,CST,368136890,10/26/23 15:21,10/26/23 15:50,,,
MISS CAROLINE (TOW 2014),1250509,D,2,10/26/23 04:05,CST,367610550,10/26/23 14:41,10/26/23 15:15,,,
MANNIE (TOW 2009),1217770,U,2,10/26/23 03:56,CST,367410990,10/26/23 13:21,10/26/23 13:45,,,
EL PASO (TOW),0538582,D,1,10/26/23 02:49,CST,366996420,10/26/23 05:28,10/26/23 06:11,,,
LADY OF PERPETUAL HELP(TOW) ,1207724,U,6,10/26/23 02:29,CST,367328790,10/26/23 12:43,10/26/23 13:15,,,
DANNY TERRAL (TOW) 75X26,0651548,D,6,10/26/23 01:45,CST,367005180,10/26/23 14:00,10/26/23 14:35,,,
