VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
RIVER DIAMOND (TOW),0609370,U,1,10/31/23 07:00,CST,368073490,,,Bayou Sorrel
MISSION (TOW 84X32) 2012,1240072,D,2,10/31/23 01:30,CST,367533930,,,Bayou Sorrel
SETH D (TOW 1981) 61X26,0634990,U,6,10/31/23 01:10,CST,367448060,,,Bayou Sorrel
DODSON THORNTON,0266269,U,6,10/31/23 01:06,CST,368120610,,,Bayou Sorrel
MIKE MITCHELL,0624349,D,6,10/31/23 01:02,CST,368144320,,,Bayou Sorrel
MARIE (TOW),0639136,U,1,10/30/23 21:16,CST,,,,Bayou Sorrel
LANEY BLESSEY WATKINS ( TOW),1251462,U,2,10/30/23 20:07,CST,367613760,10/31/23 00:00,10/31/23 00:40,Bayou Sorrel
MARIE (TOW),0639136,D,0,10/30/23 20:04,CST,,10/30/23 20:25,10/30/23 20:35,Bayou Sorrel
JOCK  (TOW 2000)  86X30,1101550,U,2,10/30/23 19:04,CST,367003460,,,Bayou Sorrel
RICHARD TOLAR (85X30),1225115,U,2,10/30/23 19:01,CST,367439360,10/30/23 22:05,10/30/23 22:40,Bayou Sorrel
RICHARD B(55X22),5681300,D,0,10/30/23 18:21,CST,,10/30/23 18:40,10/30/23 18:45,Bayou Sorrel
MICHELE GONSOULIN ( TOW ),1194788,D,2,10/30/23 18:03,CST,367303080,10/30/23 23:20,10/30/23 23:55,Bayou Sorrel
LAURA M,1315595,D,2,10/30/23 17:47,CST,368201570,,,Bayou Sorrel
PINTAIL (TOW 2009) 57X28,1225748,D,1,10/30/23 17:39,CST,367799330,10/30/23 22:40,10/30/23 23:15,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/30/23 17:30,CST,367056060,10/30/23 17:35,10/30/23 17:40,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/30/23 17:00,CST,367056060,10/30/23 17:01,10/30/23 17:05,Bayou Sorrel
RALPH C,1292862,U,2,10/30/23 16:46,CST,368083470,10/30/23 17:40,10/30/23 18:10,Bayou Sorrel
INTRA RECOIL(TOW),0533346,U,1,10/30/23 16:45,CST,368193180,10/30/23 19:01,10/30/23 19:10,Bayou Sorrel
INTRA RECOIL(TOW),0533346,U,1,10/30/23 16:45,CST,368193180,10/30/23 19:15,10/30/23 19:25,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/30/23 16:15,CST,367056060,10/30/23 16:16,10/30/23 16:35,Bayou Sorrel
CAPT. TOMMY ANTHONY (TOW),1174691,D,1,10/30/23 14:27,CST,367087250,10/30/23 19:50,10/30/23 20:00,Bayou Sorrel
GOVERNOR MIKE HUCKABEE 80X30,1236450,D,2,10/30/23 14:05,CST,367508430,10/30/23 21:45,10/30/23 22:05,Bayou Sorrel
LUCY MAY,0614508,D,6,10/30/23 14:03,CST,367002580,,,Bayou Sorrel
CAPT DICKIE PAUL,0590056,D,1,10/30/23 13:56,CST,367003850,10/30/23 14:40,10/30/23 14:50,Bayou Sorrel
RENEE T WHATLEY (TOW),1194317,U,1,10/30/23 12:24,CST,367155550,10/30/23 17:05,10/30/23 17:35,Bayou Sorrel
CITATION (TOW),1217083,U,3,10/30/23 12:22,CST,368213040,10/30/23 18:15,10/30/23 18:25,Bayou Sorrel
CITATION (TOW),1217083,U,3,10/30/23 12:22,CST,368213040,10/30/23 18:30,10/30/23 18:40,Bayou Sorrel
MANNIE (TOW 2009),1217770,U,2,10/30/23 12:20,CST,367410990,10/30/23 15:25,10/30/23 15:55,Bayou Sorrel
LUBBOCK,1260379,U,2,10/30/23 11:50,CST,368136890,10/30/23 16:35,10/30/23 16:55,Bayou Sorrel
DENNIS ROSS (TOW),0544705,D,3,10/30/23 11:41,CST,366936680,10/30/23 14:55,10/30/23 15:25,Bayou Sorrel
THREE RIVERS (TOW 2013) 78X34,1250092,D,2,10/30/23 11:22,CST,367595460,10/30/23 14:25,10/30/23 14:35,Bayou Sorrel
RIO GRANDE,1248275,D,2,10/30/23 10:19,CST,367585170,10/30/23 13:40,10/30/23 14:20,Bayou Sorrel
BAYLOR J TREGRE,1055480,U,1,10/30/23 10:10,CST,368316160,10/30/23 11:40,10/30/23 11:45,Bayou Sorrel
WILLIAM  (TOW 2009) 70X30,1222437,U,2,10/30/23 08:30,CST,367423260,10/30/23 11:50,10/30/23 11:55,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/30/23 07:30,CST,367056060,10/30/23 07:31,10/30/23 07:45,Bayou Sorrel
MARTHA T (TOW),1194629,U,3,10/30/23 07:26,CST,367156850,10/30/23 08:25,10/30/23 08:50,Bayou Sorrel
MARTHA T (TOW),1194629,U,3,10/30/23 07:26,CST,367156850,10/30/23 08:55,10/30/23 09:00,Bayou Sorrel
JAMES S DAVISON (TOW 86X32) ,1211188,U,2,10/30/23 07:20,CST,367505050,10/30/23 07:45,10/30/23 08:20,Bayou Sorrel
MICHELLE GOLDING,1258033,D,2,10/30/23 07:12,CST,367652980,10/30/23 09:00,10/30/23 09:50,Bayou Sorrel
HUD JOSEPH (TOW 60X24 ),0642513,D,1,10/30/23 04:00,CST,367378170,10/30/23 04:40,10/30/23 05:00,Bayou Sorrel
CAPT DOUG WRIGHT,1202864,U,3,10/30/23 01:51,CST,367702240,10/30/23 10:41,10/30/23 10:55,Bayou Sorrel
CAPT DOUG WRIGHT,1202864,U,1,10/30/23 01:51,CST,367702240,10/30/23 11:00,10/30/23 11:35,Bayou Sorrel
TERESA SPROUSE ,1330562,U,3,10/30/23 00:42,CST,368311730,10/30/23 01:46,10/30/23 02:20,Bayou Sorrel
TERESA SPROUSE ,1330562,U,3,10/30/23 00:42,CST,368311730,10/30/23 02:25,10/30/23 02:35,Bayou Sorrel
AVENGER,1244673,U,2,10/29/23 20:49,CST,367561870,10/29/23 23:25,10/30/23 00:00,Bayou Sorrel
MARK L DUPLANTIS,1209682,D,4,10/29/23 19:41,CST,367702060,10/29/23 22:21,10/29/23 23:00,Bayou Sorrel
MARK L DUPLANTIS,1209682,D,4,10/29/23 19:41,CST,367702060,10/29/23 23:05,10/29/23 23:25,Bayou Sorrel
HOUSTON FORET (TOW 1981) 57X24,0633661,U,2,10/29/23 17:53,CST,367588960,10/29/23 19:40,10/29/23 20:15,Bayou Sorrel
CAPTAIN ROY DANIELS,1316301,D,3,10/29/23 17:29,CST,368252420,10/29/23 21:21,10/29/23 21:40,Bayou Sorrel
CAPTAIN ROY DANIELS,1316301,D,3,10/29/23 17:29,CST,368252420,10/29/23 21:45,10/29/23 21:55,Bayou Sorrel
BOBBY JONES (TOW),0502672,U,3,10/29/23 16:49,CST,366919160,10/29/23 20:15,10/29/23 20:55,Bayou Sorrel
JOSSET   (TOW 56X23),1116940,D,3,10/29/23 15:48,CST,366841020,10/29/23 19:20,10/29/23 19:40,Bayou Sorrel
G. I. JOE,0631012,U,1,10/29/23 12:08,CST,368202360,10/29/23 12:10,10/29/23 12:21,Bayou Sorrel
JOCK  (TOW 2000)  86X30,1101550,D,2,10/29/23 11:29,CST,367003460,10/29/23 17:05,10/29/23 17:15,Bayou Sorrel
FREEDOM (TOW),0287518,U,3,10/29/23 11:25,CST,367526590,10/29/23 18:11,10/29/23 18:30,Bayou Sorrel
FREEDOM (TOW),0287518,U,3,10/29/23 11:25,CST,367526590,10/29/23 18:35,10/29/23 19:00,Bayou Sorrel
RICHARD B(TOW) 55X22,0568300,D,0,10/29/23 11:14,CST,367690950,10/29/23 11:28,10/29/23 11:32,Bayou Sorrel
GALVESTON (TOW 76X35),1216091,D,2,10/29/23 11:03,CST,367381320,10/29/23 16:50,10/29/23 17:00,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/29/23 10:41,CST,367056060,10/29/23 10:57,10/29/23 11:01,Bayou Sorrel
LOUISE NEWELL,1293670,D,2,10/29/23 10:35,CST,368090850,10/29/23 15:50,10/29/23 16:05,Bayou Sorrel
RICHARD B(TOW) 55X22,0568300,D,0,10/29/23 10:32,CST,367690950,10/29/23 10:33,10/29/23 10:40,Bayou Sorrel
