VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
CHRISTIE LEE (TOW 2015) 84X32,1259956,U,2,2023-10-24 03:04:00,,,CST,273,3
BLESSED TRINITY (TOW),1216547,U,2,2023-10-24 02:21:00,,,CST,316,2
JOSEPH ALFRED DEVALL,1236564,D,3,2023-10-24 00:26:00,,,CST,431,1
T H KELLY (TOW),693109,D,6,2023-10-23 23:40:00,,,CST,477,0
H J DUPRE (TOW),532464,D,3,2023-10-23 22:45:00,2023-10-24 01:55:00,2023-10-24 02:25:00,CST,190,-
ROBERT G STONE JR (TOW),1189439,D,2,2023-10-23 21:16:00,2023-10-24 01:05:00,2023-10-24 01:50:00,CST,229,-
SACRED HEART (TOW 73X28),1203067,D,3,2023-10-23 20:17:00,2023-10-24 00:15:00,2023-10-24 00:45:00,CST,0,-
SACRED HEART (TOW 73X28),1203067,D,3,2023-10-23 20:17:00,2023-10-23 23:45:00,2023-10-24 00:10:00,CST,208,-
ST. MATTHIAS,1273328,D,3,2023-10-23 17:59:00,2023-10-23 23:25:00,2023-10-23 23:40:00,CST,0,-
ST. MATTHIAS,1273328,D,3,2023-10-23 17:59:00,2023-10-23 22:51:00,2023-10-23 23:20:00,CST,292,-
MARK L DUPLANTIS,1209682,U,1,2023-10-23 19:59:00,2023-10-23 21:20:00,2023-10-23 21:40:00,CST,0,-
MARK L DUPLANTIS,1209682,U,2,2023-10-23 19:59:00,2023-10-23 21:00:00,2023-10-23 21:15:00,CST,61,-
RALPH RENFRO (TOW 2012) 84X32,1243956,D,2,2023-10-23 13:39:00,2023-10-23 19:45:00,2023-10-23 20:15:00,CST,366,-
MIKE BECHTOLD,586008,U,3,2023-10-23 10:00:00,2023-10-23 19:35:00,2023-10-23 19:45:00,CST,0,-
MIKE BECHTOLD,586008,U,3,2023-10-23 10:00:00,2023-10-23 18:50:00,2023-10-23 19:30:00,CST,530,-
LAKE BORGNE,1243596,D,2,2023-10-23 01:37:00,2023-10-23 18:15:00,2023-10-23 18:50:00,CST,998,-
GEORGE W BANTA (TOW),266928,U,2,2023-10-23 01:08:00,2023-10-23 18:05:00,2023-10-23 18:15:00,CST,0,-
GEORGE W BANTA (TOW),266928,U,3,2023-10-23 01:08:00,2023-10-23 17:41:00,2023-10-23 18:00:00,CST,993,-
SETH D (TOW 1981) 61X26,634990,U,3,2023-10-23 01:36:00,2023-10-23 16:55:00,2023-10-23 17:05:00,CST,0,-
SETH D (TOW 1981) 61X26,634990,U,3,2023-10-23 01:36:00,2023-10-23 16:25:00,2023-10-23 16:50:00,CST,889,-
