VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
DANIEL WISNER (85X30),1301802,D,2,2023-10-12 06:38:00,,,CST,29,
SAVIOUR (TOW),1192584,U,6,2023-10-12 05:31:00,2023-10-12 05:51:00,2023-10-12 06:20:00,CST,20,-
GOVERNOR MIKE HUCKABEE 80X30,1236450,D,2,2023-10-12 04:30:00,2023-10-12 04:48:00,2023-10-12 05:26:00,CST,18,-
TERRY H,1252433,U,2,2023-10-12 00:46:00,2023-10-12 01:52:00,2023-10-12 02:23:00,CST,66,-
ASPEN (TOW 2016) 75X34,1270614,D,2,2023-10-12 00:40:00,2023-10-12 00:51:00,2023-10-12 01:31:00,CST,11,-
RITA (TOW),544740,U,6,2023-10-11 21:10:00,2023-10-11 21:13:00,2023-10-11 21:59:00,CST,3,-
CAPT. JERRY J. WILTZ (TOW2012),1238777,U,2,2023-10-11 19:05:00,2023-10-11 20:31:00,2023-10-11 21:12:00,CST,86,-
CAPTAIN EARL DEVALL (TOW)2005,1167310,D,2,2023-10-11 18:17:00,2023-10-11 19:31:00,2023-10-11 20:30:00,CST,74,-
RENEE T WHATLEY (TOW),1194317,U,1,2023-10-11 18:20:00,2023-10-11 19:04:00,2023-10-11 19:30:00,CST,44,-
MV HALLIE M. MERRICK,1247505,U,6,2023-10-11 15:25:00,2023-10-11 18:15:00,2023-10-11 19:03:00,CST,170,-
MUDD TUG II ( TOW ),1202419,U,1,2023-10-11 16:28:00,2023-10-11 16:35:00,2023-10-11 16:54:00,CST,7,-
JASON LUHR (TOW),1079857,D,6,2023-10-11 14:57:00,2023-10-11 15:07:00,2023-10-11 15:45:00,CST,10,-
DELACROIX,1256869,U,1,2023-10-11 12:24:00,2023-10-11 13:21:00,2023-10-11 13:28:00,CST,57,-
JEFFREY GRANT,1253473,U,1,2023-10-11 12:22:00,2023-10-11 13:00:00,2023-10-11 13:20:00,CST,38,-
JACKIE (TOW 2005),1171264,D,2,2023-10-11 10:44:00,2023-10-11 12:19:00,2023-10-11 12:53:00,CST,95,-
BRONCO,1327838,U,2,2023-10-11 09:58:00,2023-10-11 11:35:00,2023-10-11 12:09:00,CST,97,-
SANDRA LEIGH IVEY,1292801,U,2,2023-10-11 10:34:00,2023-10-11 10:52:00,2023-10-11 11:24:00,CST,18,-
WILLIAM  (TOW 2009) 70X30,1222437,D,2,2023-10-11 09:40:00,2023-10-11 09:58:00,2023-10-11 10:27:00,CST,18,-
STEVE ALLEY,1322117,U,6,2023-10-11 07:41:00,2023-10-11 08:50:00,2023-10-11 09:28:00,CST,69,-
AL CENAC,1316302,D,3,2023-10-11 07:26:00,2023-10-11 07:44:00,2023-10-11 08:22:00,CST,18,-
AMERICAN RELIANCE (TOW 2016),1270208,D,2,2023-10-11 07:00:00,2023-10-11 07:12:00,2023-10-11 07:41:00,CST,12,-
ENDURANCE (TOW 2011)81X30,1232349,U,2,2023-10-11 03:44:00,2023-10-11 03:57:00,2023-10-11 04:41:00,CST,13,-
SYDNEE TAYLOR (TOW),1191691,D,1,2023-10-11 02:47:00,2023-10-11 03:32:00,2023-10-11 03:56:00,CST,45,-
KING,1301093,D,2,2023-10-11 02:42:00,2023-10-11 02:54:00,2023-10-11 03:31:00,CST,12,-
STEVE ALLEY,1322117,D,5,2023-10-11 01:29:00,2023-10-11 02:17:00,2023-10-11 02:53:00,CST,48,-
