VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
LADY LOREN (TOW 77X29),1213455,D,1,2023-10-25 05:08:00,,,CST,149,5A
RICHARD  (TOW 2008),1212306,U,2,2023-10-25 03:51:00,,,CST,226,10
M/V LILLIAN LOUISE,1267422,U,2,2023-10-25 03:49:00,,,CST,228,6
DARIAN ALEXANDRA (TOW 2019),1269031,D,3,2023-10-25 03:46:00,,,CST,231,13
WILLIAM  (TOW 2009) 70X30,1222437,D,2,2023-10-25 03:19:00,,,CST,258,12
INNOVATOR (TOW 2003),1141274,U,3,2023-10-25 03:18:00,,,CST,259,8
MISS PEYTON,633411,U,6,2023-10-25 02:53:00,,,CST,284,4
H J DUPRE (TOW),532464,D,3,2023-10-25 02:41:00,,,CST,296,11
ROBERT G STONE JR (TOW),1189439,D,2,2023-10-25 00:56:00,,,CST,401,10
BETH WILSON,1121373,D,2,2023-10-25 00:49:00,,,CST,408,9
AMERICAN CENTURY (TOW 2015),1261315,D,3,2023-10-24 23:54:00,,,CST,463,7
RALPH RENFRO (TOW 2012) 84X32,1243956,D,2,2023-10-24 23:20:00,,,CST,497,5
JERIS AUTHEMENT,1252182,D,2,2023-10-24 20:49:00,2023-10-25 05:47:00,2023-10-25 06:13:00,CST,538,-
REBOUND,286204,U,6,2023-10-25 02:52:00,2023-10-25 04:46:00,2023-10-25 05:15:00,CST,114,-
HUD JOSEPH (TOW 60X24 ),642513,U,1,2023-10-25 03:21:00,2023-10-25 04:31:00,2023-10-25 05:09:00,CST,70,-
LAKE BORGNE,1243596,D,2,2023-10-24 20:12:00,2023-10-25 03:37:00,2023-10-25 04:06:00,CST,445,-
TOM HENDERSON,1315976,U,2,2023-10-25 00:30:00,2023-10-25 02:40:00,2023-10-25 03:08:00,CST,130,-
CLELAND POWELL (TOW 2009),1223818,D,2,2023-10-24 19:23:00,2023-10-25 01:57:00,2023-10-25 02:28:00,CST,394,-
JEFFREY GRANT,1253473,D,1,2023-10-25 00:59:00,2023-10-25 01:45:00,2023-10-25 02:23:00,CST,46,-
MISS KELLY (TOW 2009),1221425,U,1,2023-10-24 18:20:00,2023-10-25 01:09:00,2023-10-25 01:31:00,CST,409,-
PECAN ISLAND,1243601,D,2,2023-10-24 19:21:00,2023-10-25 00:05:00,2023-10-25 00:28:00,CST,284,-
MACK AMON,1279906,U,2,2023-10-24 16:38:00,2023-10-24 23:06:00,2023-10-24 23:29:00,CST,388,-
WILSEY DUPRE (TOW 2010),1224664,D,2,2023-10-24 16:06:00,2023-10-24 22:04:00,2023-10-24 22:26:00,CST,358,-
CAPT NILES SHOEMAKER,1239879,U,2,2023-10-24 15:11:00,2023-10-24 20:58:00,2023-10-24 21:23:00,CST,347,-
NATHAN GOLDING (TOW),1199250,D,2,2023-10-24 13:33:00,2023-10-24 20:16:00,2023-10-24 20:39:00,CST,403,-
STEVEN M BRYAN (2010) 86X32,1223817,U,2,2023-10-24 12:14:00,2023-10-24 19:18:00,2023-10-24 19:42:00,CST,424,-
ENTERPRISE,1247595,D,2,2023-10-24 12:22:00,2023-10-24 18:27:00,2023-10-24 18:50:00,CST,365,-
RISEN SAVIOUR (TOW),1191228,U,5,2023-10-24 11:58:00,2023-10-24 17:17:00,2023-10-24 17:48:00,CST,319,-
ALBERT CENAC(72X30),1243597,U,1,2023-10-24 15:08:00,2023-10-24 17:09:00,2023-10-24 17:44:00,CST,121,-
SWEET LAKE,1243599,D,2,2023-10-24 11:57:00,2023-10-24 15:55:00,2023-10-24 16:26:00,CST,238,-
BLUE DIAMOND,565688,D,1,2023-10-24 11:57:00,2023-10-24 15:46:00,2023-10-24 16:24:00,CST,229,-
SMOKIN JOE (FISH) 39X16,553206,U,0,2023-10-24 14:39:00,2023-10-24 15:09:00,2023-10-24 15:33:00,CST,30,-
JESUS SAVES (TOW),534836,U,6,2023-10-24 09:37:00,2023-10-24 14:59:00,2023-10-24 15:37:00,CST,322,-
PECAN ISLAND,1243601,U,2,2023-10-24 09:33:00,2023-10-24 14:16:00,2023-10-24 14:41:00,CST,283,-
C J BOYNE (TOW),1102627,U,1,2023-10-24 12:38:00,2023-10-24 14:09:00,2023-10-24 14:39:00,CST,91,-
JENNIFER MITCH (FISH),945239,D,0,2023-10-24 12:53:00,2023-10-24 13:50:00,2023-10-24 14:02:00,CST,57,-
CAPT. KIRK COLLETTI,1213534,U,2,2023-10-24 04:49:00,2023-10-24 13:23:00,2023-10-24 13:45:00,CST,514,-
RANDY J ADAMS (TOW 2013),1244042,U,2,2023-10-24 04:44:00,2023-10-24 12:42:00,2023-10-24 13:12:00,CST,478,-
RIVER DIAMOND (TOW),609370,U,0,2023-10-24 12:00:00,2023-10-24 12:20:00,2023-10-24 13:10:00,CST,20,-
LADY FLO (FISH),909372,D,0,2023-10-24 11:40:00,2023-10-24 11:51:00,2023-10-24 12:04:00,CST,11,-
FREEDOM (TOW),287518,D,6,2023-10-24 08:17:00,2023-10-24 11:25:00,2023-10-24 11:50:00,CST,188,-
FATHER PAT (TOW 2011) 76X35,1237423,D,2,2023-10-24 02:51:00,2023-10-24 10:58:00,2023-10-24 11:24:00,CST,487,-
CLELAND POWELL (TOW 2009),1223818,U,2,2023-10-23 23:56:00,2023-10-24 09:54:00,2023-10-24 10:20:00,CST,598,-
LUBBOCK,1260379,U,2,2023-10-23 23:25:00,2023-10-24 09:10:00,2023-10-24 09:36:00,CST,585,-
JEFF KINDL (TOW 2016) 86X35,1266571,U,8,2023-10-23 23:09:00,2023-10-24 08:35:00,2023-10-24 09:00:00,CST,566,-
FLORENCE DAVIS,1280394,U,2,2023-10-23 17:02:00,2023-10-24 07:49:00,2023-10-24 08:20:00,CST,887,-
PAT CENAC,1303152,U,6,2023-10-23 16:06:00,2023-10-24 07:12:00,2023-10-24 07:42:00,CST,906,-
SANDRA LEE,1259133,U,3,2023-10-23 17:01:00,2023-10-24 06:12:00,2023-10-24 06:46:00,CST,791,-
RANDOLPH C,1261475,D,6,2023-10-23 19:11:00,2023-10-24 04:32:00,2023-10-24 04:59:00,CST,561,-
MISS CATHERINE ,1301428,D,2,2023-10-23 16:44:00,2023-10-24 03:48:00,2023-10-24 04:20:00,CST,664,-
C J BOYNE (TOW),1102627,D,0,2023-10-24 02:07:00,2023-10-24 03:32:00,2023-10-24 04:14:00,CST,85,-
DELACROIX,1256869,U,1,2023-10-23 23:58:00,2023-10-24 02:45:00,2023-10-24 03:20:00,CST,167,-
MARTIN CHALLENGER (TOW),1051672,U,2,2023-10-23 15:53:00,2023-10-24 02:10:00,2023-10-24 03:11:00,CST,617,-
SAINT CHARLES (TOW 2009),1223316,U,2,2023-10-23 15:11:00,2023-10-24 01:32:00,2023-10-24 01:58:00,CST,621,-
JUDY S FRIED (TOW),1165345,U,2,2023-10-23 21:36:00,2023-10-24 00:41:00,2023-10-24 01:11:00,CST,185,-
ALYS,1233341,U,2,2023-10-23 14:22:00,2023-10-24 00:30:00,2023-10-24 01:05:00,CST,608,-
NICHOLAS VETO,1255027,D,1,2023-10-23 22:24:00,2023-10-23 23:07:00,2023-10-23 23:32:00,CST,43,-
DAHLI BROOKE,1248795,D,2,2023-10-23 15:26:00,2023-10-23 22:58:00,2023-10-23 23:26:00,CST,452,-
JACKIE (TOW 2005),1171264,D,2,2023-10-23 14:40:00,2023-10-23 22:22:00,2023-10-23 22:43:00,CST,462,-
JASON LUHR (TOW),1079857,U,6,2023-10-23 11:06:00,2023-10-23 21:35:00,2023-10-23 21:58:00,CST,629,-
PINTAIL (TOW 2009) 57X28,1225748,U,1,2023-10-23 16:58:00,2023-10-23 20:54:00,2023-10-23 21:24:00,CST,236,-
COUNT FLEET,1294853,U,6,2023-10-23 10:34:00,2023-10-23 20:43:00,2023-10-23 21:17:00,CST,609,-
FATHER PAT (TOW 2011) 76X35,1237423,U,4,2023-10-23 14:02:00,2023-10-23 19:58:00,2023-10-23 20:32:00,CST,356,-
DAVID MCNEMAR (TOW 2010),1226350,U,2,2023-10-23 09:09:00,2023-10-23 19:40:00,2023-10-23 20:25:00,CST,631,-
VELMA C (TOW),1090026,D,4,2023-10-23 11:43:00,2023-10-23 18:50:00,2023-10-23 19:11:00,CST,427,-
SANDPIPER (TOW 2011) 34X78,1237330,D,1,2023-10-23 18:10:00,2023-10-23 18:45:00,2023-10-23 19:05:00,CST,35,-
ANNA MICHAEL,1243603,U,0,2023-10-23 17:47:00,2023-10-23 18:30:00,2023-10-23 18:40:00,CST,43,-
ELLY LANE (TOW),560594,D,3,2023-10-23 09:11:00,2023-10-23 18:00:00,2023-10-23 18:25:00,CST,529,-
